@relation training

@attribute a numeric
@attribute and numeric
@attribute i numeric
@attribute in numeric
@attribute is numeric
@attribute it numeric
@attribute of numeric
@attribute that numeric
@attribute the numeric
@attribute to numeric
@attribute gender {male,female}

@data
0.0304777594728,0.0280065897858,0.0,0.0172981878089,0.00247116968699,0.0123558484349,0.0131795716639,0.0123558484349,0.0370675453048,0.0189456342669,male
0.0233545647558,0.0106157112527,0.0,0.0138004246285,0.0116772823779,0.0212314225053,0.0233545647558,0.0127388535032,0.0467091295117,0.0244161358811,male
0.0231729055258,0.0374331550802,0.0,0.017825311943,0.0106951871658,0.0124777183601,0.0133689839572,0.017825311943,0.0294117647059,0.024064171123,male
0.0254706533776,0.0199335548173,0.0,0.0143964562569,0.00996677740864,0.00885935769657,0.0077519379845,0.0110741971207,0.0343300110742,0.0232558139535,male
0.0213143872114,0.0230905861456,0.0,0.0106571936057,0.00355239786856,0.00355239786856,0.0266429840142,0.0088809946714,0.0373001776199,0.0195381882771,male
0.0258697591436,0.0187332738626,0.0,0.014272970562,0.00624442462087,0.00802854594112,0.014272970562,0.00802854594112,0.0321141837645,0.0160570918822,male
0.0171849427169,0.0261865793781,0.0,0.0114566284779,0.0106382978723,0.0139116202946,0.0171849427169,0.00900163666121,0.0400981996727,0.0294599018003,male
0.0360915492958,0.0343309859155,0.0,0.0140845070423,0.0114436619718,0.00968309859155,0.018485915493,0.00792253521127,0.0264084507042,0.0228873239437,male
0.0200860832138,0.0172166427547,0.0,0.0164992826399,0.00717360114778,0.00502152080344,0.0164992826399,0.00932568149211,0.032281205165,0.0150645624103,male
0.015625,0.0283564814815,0.0,0.0162037037037,0.00983796296296,0.00520833333333,0.0248842592593,0.00520833333333,0.0596064814815,0.0277777777778,male
0.0148367952522,0.0178041543027,0.0,0.00593471810089,0.0148367952522,0.00593471810089,0.0296735905045,0.00890207715134,0.0474777448071,0.0148367952522,female
0.0237877401647,0.0210430009149,0.0,0.00731930466606,0.00365965233303,0.0118938700823,0.0137236962489,0.0109789569991,0.0420860018298,0.0247026532479,male
0.0252427184466,0.0148867313916,0.0,0.00453074433657,0.00776699029126,0.0220064724919,0.0168284789644,0.0122977346278,0.0297734627832,0.0194174757282,male
0.0259579728059,0.0265760197775,0.0,0.0222496909765,0.00494437577256,0.00865265760198,0.0216316440049,0.0142150803461,0.0550061804697,0.0241038318912,male
0.0224800580131,0.0159535895577,0.0,0.0152284263959,0.0152284263959,0.00725163161711,0.0210297316896,0.00870195794054,0.0362581580856,0.0174039158811,male
0.0201005025126,0.0294328786791,0.0,0.013639626705,0.00933237616655,0.0100502512563,0.0157932519742,0.0129217516152,0.0337401292175,0.024407753051,male
0.0255878284924,0.0186721991701,0.0,0.00899031811895,0.00968188105118,0.0131396957123,0.0200553250346,0.015214384509,0.0248962655602,0.0262793914246,male
0.0242966751918,0.0306905370844,0.0,0.0230179028133,0.0102301790281,0.0127877237852,0.0191815856777,0.00895140664962,0.0447570332481,0.0166240409207,male
0.00549450549451,0.0201465201465,0.0,0.00549450549451,0.0,0.0018315018315,0.00915750915751,0.010989010989,0.0164835164835,0.00549450549451,male
0.01643017177,0.0209111277072,0.0,0.00746825989544,0.0126960418223,0.0179238237491,0.0171769977595,0.0156833457804,0.0336071695295,0.0268857356236,male
0.0266666666667,0.0222222222222,0.0,0.00666666666667,0.0,0.00666666666667,0.02,0.00444444444444,0.0311111111111,0.0133333333333,male
0.0208633093525,0.0136690647482,0.0,0.0122302158273,0.00791366906475,0.00359712230216,0.0136690647482,0.00935251798561,0.0359712230216,0.0172661870504,female
0.0160565189467,0.0211946050096,0.0,0.0128452151574,0.00578034682081,0.0154142581888,0.0218368657675,0.00834938985228,0.0481695568401,0.0256904303147,male
0.0260099612618,0.0254565578307,0.0,0.0138350857775,0.00608743774211,0.011068068622,0.0182623132263,0.0105146651909,0.0282235749862,0.0215827338129,male
