@relation training

@attribute 'a' numeric
@attribute 'and' numeric
@attribute 'of' numeric
@attribute 'the' numeric
@attribute 'to' numeric
@attribute ',' numeric
@attribute gender {male,female}

@data
0.0411861614498,0.0304777594728,0.0280065897858,0.0131795716639,0.0370675453048,0.0189456342669,male
0.036093418259,0.0233545647558,0.0106157112527,0.0233545647558,0.0467091295117,0.0244161358811,male
0.0196078431373,0.0231729055258,0.0374331550802,0.0133689839572,0.0294117647059,0.024064171123,male
0.0454042081949,0.0254706533776,0.0199335548173,0.0077519379845,0.0343300110742,0.0232558139535,male
0.0390763765542,0.0213143872114,0.0230905861456,0.0266429840142,0.0373001776199,0.0195381882771,male
0.0231935771632,0.0258697591436,0.0187332738626,0.014272970562,0.0321141837645,0.0160570918822,male
0.0278232405892,0.0171849427169,0.0261865793781,0.0171849427169,0.0400981996727,0.0294599018003,male
0.0387323943662,0.0360915492958,0.0343309859155,0.018485915493,0.0264084507042,0.0228873239437,male
0.0365853658537,0.0200860832138,0.0172166427547,0.0164992826399,0.032281205165,0.0150645624103,male
0.0439814814815,0.015625,0.0283564814815,0.0248842592593,0.0596064814815,0.0277777777778,male
0.0296735905045,0.0148367952522,0.0178041543027,0.0296735905045,0.0474777448071,0.0148367952522,female
0.0457456541629,0.0237877401647,0.0210430009149,0.0137236962489,0.0420860018298,0.0247026532479,male
0.0433656957929,0.0252427184466,0.0148867313916,0.0168284789644,0.0297734627832,0.0194174757282,male
0.0210135970334,0.0259579728059,0.0265760197775,0.0216316440049,0.0550061804697,0.0241038318912,male
0.0580130529369,0.0224800580131,0.0159535895577,0.0210297316896,0.0362581580856,0.0174039158811,male
0.035175879397,0.0201005025126,0.0294328786791,0.0157932519742,0.0337401292175,0.024407753051,male
0.030428769018,0.0255878284924,0.0186721991701,0.0200553250346,0.0248962655602,0.0262793914246,male
0.0268542199488,0.0242966751918,0.0306905370844,0.0191815856777,0.0447570332481,0.0166240409207,male
0.0201465201465,0.00549450549451,0.0201465201465,0.00915750915751,0.0164835164835,0.00549450549451,male
0.0298730395818,0.01643017177,0.0209111277072,0.0171769977595,0.0336071695295,0.0268857356236,male
0.0488888888889,0.0266666666667,0.0222222222222,0.02,0.0311111111111,0.0133333333333,male
0.0474820143885,0.0208633093525,0.0136690647482,0.0136690647482,0.0359712230216,0.0172661870504,female
0.0462427745665,0.0160565189467,0.0211946050096,0.0218368657675,0.0481695568401,0.0256904303147,male
0.0398450470393,0.0260099612618,0.0254565578307,0.0182623132263,0.0282235749862,0.0215827338129,male
0.047619047619,0.0214752567694,0.0186741363212,0.0116713352007,0.0247432306256,0.0261437908497,male
0.0171526586621,0.0231560891938,0.02487135506,0.0257289879931,0.0351629502573,0.0120068610635,male
